barrio,distrito,nombre,estado_licencia,capacidad
valdefuentes,hortaleza,LA SUREÑA,Abierta,53.55
ibiza,retiro,MÁXIMO,Abierta,8.24
pacifico,retiro,BAR LA ARDOSA,Abierta,21.06
cuatro caminos,tetuan,CAFE MIES BAR,Abierta,21.86
embajadores,centro,FANTASTICO,Abierta,15.95
lista,salamanca,CORNER CAFÉ,Abierta,18.17
canillas,hortaleza,BAR OASIS,Abierta,14.4
el salvador,san blas-canillejas,TABERNA ENTRE CASTILLAS,Abierta,24.0
universidad,centro,EL BALCON DE MALASAÑA,Abierta,78.52
aluche,latina,NEW BOCADITO'S,Abierta,106.05
pinar del rey,hortaleza,RESTAURANTE BAR LOS CELTAS,Abierta,36.7
rosas,san blas-canillejas,BARPOLITANO,Abierta,38.55
cuatro caminos,tetuan,#PORNEAT (X2),Abierta,24.44
recoletos,salamanca,TASTY POKE,Abierta,13.68
